time,open,high,low,close,volume,ticker
2019-01-02,9360,9360,9140,9230,1103106,ACB
2019-01-03,8310,9200,8310,8890,1956382,ACB
2019-01-04,8850,9010,8730,8950,2771983,ACB
2019-01-07,9140,9140,9010,9070,1305819,ACB
2019-01-08,9920,9920,9010,9010,846226,ACB
2019-01-09,9040,9200,9010,9170,2196358,ACB
2019-01-10,9170,9200,9140,9140,1378687,ACB
2019-01-11,9170,9200,9110,9140,1250077,ACB
2019-01-14,9110,9140,9070,9070,937155,ACB
2019-01-15,8910,9200,8380,9200,901146,ACB
2019-01-16,9200,9260,9110,9110,509354,ACB
2019-01-17,9140,9200,9110,9140,737519,ACB
2019-01-18,9170,9170,8980,9040,1412966,ACB
2019-01-21,9070,9480,9070,9330,2079830,ACB
2019-01-22,9390,9420,9200,9200,1845725,ACB
2019-01-23,9170,9230,9140,9200,1160094,ACB
2019-01-24,9230,9330,9170,9230,1743450,ACB
2019-01-25,9420,9420,9200,9230,836534,ACB
2019-01-28,9230,9260,8850,9140,997088,ACB
2019-01-29,9110,9170,9040,9170,1091518,ACB
2019-01-30,9800,9800,9170,9260,1565464,ACB
2019-01-31,9360,9420,9260,9300,1674668,ACB
2019-02-01,9300,9360,9260,9330,781100,ACB
2019-02-11,9420,9770,9360,9550,1713857,ACB
2019-02-12,9550,9670,9550,9640,2059630,ACB
2019-02-13,9670,9710,9580,9640,2093177,ACB
2019-02-14,9640,9640,9510,9510,1357835,ACB
2019-02-15,9510,9610,9480,9550,2176902,ACB
2019-02-18,9550,9640,9550,9610,1908779,ACB
2019-02-19,9640,9640,9550,9580,2754758,ACB
2019-02-20,9580,9640,9550,9610,1693486,ACB
2019-02-21,9610,9710,9510,9510,2970459,ACB
2019-02-22,9550,9740,9480,9640,3974330,ACB
2019-02-25,9710,9920,9640,9800,3874034,ACB
2019-02-26,9740,9870,9670,9740,2277127,ACB
2019-02-27,9740,9770,9640,9670,1544839,ACB
2019-02-28,9740,9740,9390,9390,3793504,ACB
2019-03-01,9420,9510,9330,9480,1478830,ACB
2019-03-04,9480,9640,9460,9610,3120806,ACB
2019-03-05,9610,9710,9510,9580,2465893,ACB
2019-03-06,9550,9610,9480,9580,1178516,ACB
2019-03-07,9610,9710,9580,9640,3301746,ACB
2019-03-08,9610,9670,9550,9580,1416810,ACB
2019-03-11,9580,9670,9550,9610,1032198,ACB
2019-03-12,9640,9770,9580,9770,2504257,ACB
2019-03-13,9830,10020,9770,9920,5473410,ACB
2019-03-14,9920,10120,9900,9960,2333220,ACB
2019-03-15,9990,10060,9900,10020,2649931,ACB
2019-03-18,10060,10180,10020,10080,3739699,ACB
2019-03-19,10120,10120,9870,9900,2828856,ACB
2019-03-20,9920,9920,9710,9800,3143264,ACB
2019-03-21,9800,9920,9610,9610,2939770,ACB
2019-03-22,9610,9710,9610,9640,1819172,ACB
2019-03-25,9610,9610,9460,9510,2275202,ACB
2019-03-26,9550,9610,9510,9580,1540206,ACB
2019-03-27,9610,9670,9550,9610,856984,ACB
2019-03-28,9610,9640,9550,9580,1366727,ACB
2019-03-29,9580,9640,9550,9580,1915257,ACB
2019-04-01,9580,9640,9580,9580,751744,ACB
2019-04-02,9640,9710,9580,9580,1184570,ACB
2019-04-03,9640,9640,9460,9510,1394796,ACB
2019-04-04,9460,9580,9460,9550,1091143,ACB
2019-04-05,9550,9610,9510,9550,767879,ACB
2019-04-08,9550,9770,9550,9740,2224599,ACB
2019-04-09,9740,9800,9640,9640,1801683,ACB
2019-04-10,9580,9640,9550,9550,868574,ACB
2019-04-11,9670,9670,9510,9580,905666,ACB
2019-04-12,9550,9580,9480,9550,1051329,ACB
2019-04-16,9550,9550,9420,9480,1328836,ACB
2019-04-17,9510,9580,9460,9460,688254,ACB
2019-04-18,9260,9480,9260,9390,1019057,ACB
2019-04-19,9420,9460,9360,9360,599302,ACB
2019-04-22,9390,9390,9200,9260,1362678,ACB
2019-04-23,9300,9460,9200,9360,1651748,ACB
2019-04-24,9390,9550,9330,9510,1062284,ACB
2019-04-25,9510,9610,9460,9480,745480,ACB
2019-04-26,9480,9550,9460,9510,1123078,ACB
2019-05-02,9550,9580,9390,9390,1134878,ACB
2019-05-03,9420,9480,9420,9480,1115126,ACB
2019-05-06,9480,9480,9300,9300,1381176,ACB
2019-05-07,9480,9480,9230,9330,869471,ACB
2019-05-08,9260,9360,9200,9330,1019991,ACB
2019-05-09,9300,9330,9200,9200,603773,ACB
2019-05-10,9200,9300,9170,9260,646916,ACB
2019-05-13,9300,9360,9230,9230,913337,ACB
2019-05-14,9230,9260,9140,9200,1601854,ACB
