time,open,high,low,close,volume,ticker
2019-01-02,9710,9710,9040,9040,723350,HDB
2019-01-03,9280,9300,9010,9030,1222860,HDB
2019-01-04,9080,9300,8970,9300,1129350,HDB
2019-01-07,9300,9450,9130,9260,727640,HDB
2019-01-08,9260,9280,8970,9130,1063470,HDB
2019-01-09,9170,9330,9170,9260,1246940,HDB
2019-01-10,9280,9330,9280,9300,1859370,HDB
2019-01-11,9300,9450,9280,9370,2231760,HDB
2019-01-14,9370,9420,9260,9330,715340,HDB
2019-01-15,9370,9380,9280,9370,717930,HDB
2019-01-16,9370,9370,9260,9370,895390,HDB
2019-01-17,9370,9370,9260,9260,998480,HDB
2019-01-18,9300,9420,9260,9330,1417600,HDB
2019-01-21,9350,9520,9330,9500,1233280,HDB
2019-01-22,9520,9730,9520,9650,1369310,HDB
2019-01-23,9620,9710,9600,9620,850650,HDB
2019-01-24,9620,9670,9520,9600,725150,HDB
2019-01-25,9620,9650,9560,9600,891440,HDB
2019-01-28,9600,9650,9560,9620,876970,HDB
2019-01-29,9620,9630,9570,9620,934570,HDB
2019-01-30,9620,9630,9570,9620,768110,HDB
2019-01-31,9650,9770,9650,9770,762510,HDB
2019-02-01,9770,9810,9710,9770,1336610,HDB
2019-02-11,9810,9840,9740,9830,1150140,HDB
2019-02-12,9830,10030,9810,9970,1889530,HDB
2019-02-13,9980,10100,9970,10000,1299260,HDB
2019-02-14,9970,10020,9810,9880,944710,HDB
2019-02-15,9880,9880,9680,9740,1126100,HDB
2019-02-18,9740,9830,9670,9810,1482140,HDB
2019-02-19,9810,9810,9540,9620,1535000,HDB
2019-02-20,9620,9620,9520,9520,840490,HDB
2019-02-21,9520,9600,9420,9560,1427590,HDB
2019-02-22,9560,9770,9500,9650,1237000,HDB
2019-02-25,9680,9970,9680,9940,1776680,HDB
2019-02-26,9940,9960,9760,9830,1122230,HDB
2019-02-27,9830,9860,9770,9810,951480,HDB
2019-02-28,9810,9810,9620,9620,1478660,HDB
2019-03-01,9620,9760,9620,9740,963400,HDB
2019-03-04,9740,9810,9680,9740,1085020,HDB
2019-03-05,9740,9900,9710,9840,1303000,HDB
2019-03-06,9860,9940,9770,9840,1108670,HDB
2019-03-07,9840,9900,9740,9840,1620040,HDB
2019-03-08,9760,9810,9620,9740,1212760,HDB
2019-03-11,9740,9770,9650,9740,626150,HDB
2019-03-12,9740,9940,9710,9900,1505510,HDB
2019-03-13,9900,10020,9900,9940,2043280,HDB
2019-03-14,9940,9960,9840,9900,1310490,HDB
2019-03-15,9900,10230,9900,10200,3064820,HDB
2019-03-18,10230,10360,10150,10200,1392510,HDB
2019-03-19,10200,10370,10200,10230,1696390,HDB
2019-03-20,10200,10230,9940,10180,931480,HDB
2019-03-21,10180,10230,9920,9940,972860,HDB
2019-03-22,9940,10060,9880,9940,1239450,HDB
2019-03-25,9710,9840,9630,9710,1271210,HDB
2019-03-26,9710,9830,9680,9710,1421400,HDB
2019-03-27,9730,9790,9630,9730,1492830,HDB
2019-03-28,9680,9840,9620,9670,1479130,HDB
2019-03-29,9620,9680,9540,9620,1153030,HDB
2019-04-01,9620,9630,9450,9470,1097250,HDB
2019-04-02,9490,9520,9130,9230,1518730,HDB
2019-04-03,9130,9150,9030,9060,1140200,HDB
2019-04-04,9130,9380,9130,9370,1613920,HDB
2019-04-05,9330,9380,9260,9380,1364970,HDB
2019-04-08,9330,9350,9220,9260,1065960,HDB
2019-04-09,9260,9380,9110,9220,1880540,HDB
2019-04-10,9150,9170,8970,9010,1714100,HDB
2019-04-11,9040,9080,8960,8960,1056670,HDB
2019-04-12,8960,8990,8820,8880,1429660,HDB
2019-04-16,8860,9170,8820,9170,1465250,HDB
2019-04-17,9200,9250,9130,9130,1064030,HDB
2019-04-18,9080,9100,8940,9010,1155030,HDB
2019-04-19,9010,9030,8930,9010,938990,HDB
2019-04-22,9040,9040,8880,9010,1243600,HDB
2019-04-23,9040,9100,8960,9060,1394220,HDB
2019-04-24,9080,9100,9030,9090,1127760,HDB
2019-04-25,9100,9100,8900,9010,1239480,HDB
2019-04-26,9060,9080,8970,9010,944690,HDB
2019-05-02,9040,9040,8910,8990,1303850,HDB
2019-05-03,8990,9010,8840,8970,1351590,HDB
2019-05-06,8930,8930,8720,8760,992700,HDB
2019-05-07,8760,8800,8370,8370,1855910,HDB
2019-05-08,8330,8430,8210,8430,2118830,HDB
2019-05-09,8430,8570,8350,8570,1578090,HDB
2019-05-10,8590,8820,8510,8720,1642950,HDB
2019-05-13,8720,8840,8560,8840,3370690,HDB
2019-05-14,8780,8840,8590,8720,1545870,HDB
2019-05-15,8650,8860,8560,8840,2499810,HDB
2019-05-16,8780,8860,8590,8760,2217020,HDB
2019-05-17,8740,8740,8570,8650,1413840,HDB
2019-05-20,8700,8720,8610,8700,1315780,HDB
2019-05-21,8700,8740,8610,8690,1555260,HDB
2019-05-22,8650,8720,8610,8650,665200,HDB
2019-05-23,8650,8670,8400,8500,1685350,HDB
2019-05-24,8460,8560,8420,8500,883450,HDB
2019-05-27,8500,8650,8480,8630,961600,HDB
