time,open,high,low,close,volume,ticker
2019-01-02,10830,11030,10800,10800,4196210,HPG
2019-01-03,10780,10830,10340,10340,6877510,HPG
2019-01-04,10310,10520,10060,10410,5841290,HPG
2019-01-07,10620,10640,10220,10290,2488920,HPG
2019-01-08,10310,10340,10060,10110,3150620,HPG
2019-01-09,10170,10450,10170,10340,1876020,HPG
2019-01-10,10380,10550,10340,10450,1783870,HPG
2019-01-11,10450,10480,10290,10290,2659370,HPG
2019-01-14,10310,10330,10110,10270,3226780,HPG
2019-01-15,10270,10380,10220,10270,2640430,HPG
2019-01-16,10310,10400,10220,10330,2981480,HPG
2019-01-17,10330,10330,10130,10130,1957850,HPG
2019-01-18,10270,10330,10220,10240,2120620,HPG
2019-01-21,10270,10430,10240,10360,1917140,HPG
2019-01-22,10410,10470,10330,10340,1665310,HPG
2019-01-23,10310,10660,10290,10540,3788700,HPG
2019-01-24,10550,10660,10470,10470,2387030,HPG
2019-01-25,10520,10550,10360,10410,1609890,HPG
2019-01-28,10450,10450,10380,10430,1711540,HPG
2019-01-29,10470,10470,10340,10410,1814550,HPG
2019-01-30,10380,10380,10110,10170,6765640,HPG
2019-01-31,10170,10220,9680,9710,7171640,HPG
2019-02-01,9760,9890,9470,9570,7100180,HPG
2019-02-11,9690,10130,9680,10130,2836470,HPG
2019-02-12,10130,10470,10080,10340,7952400,HPG
2019-02-13,10340,10900,10340,10830,11079510,HPG
2019-02-14,10830,10970,10800,10870,6455840,HPG
2019-02-15,10870,11390,10800,11080,9326200,HPG
2019-02-18,11250,11410,11200,11270,6374370,HPG
2019-02-19,11380,11390,11100,11110,5904440,HPG
2019-02-20,11110,11320,11100,11290,5878290,HPG
2019-02-21,11320,11460,11180,11460,6010110,HPG
2019-02-22,11450,11900,11410,11890,8269150,HPG
2019-02-25,12080,12460,11990,12200,11781980,HPG
2019-02-26,12200,12410,12010,12100,7383610,HPG
2019-02-27,12250,12250,11970,12060,4999180,HPG
2019-02-28,12110,12130,11780,11780,6952800,HPG
2019-03-01,11780,12010,11780,12010,4610790,HPG
2019-03-04,12180,12390,12170,12390,5020420,HPG
2019-03-05,12310,12480,12250,12290,5704900,HPG
2019-03-06,12270,12340,12060,12270,3373240,HPG
2019-03-07,12270,12290,11960,11960,4555440,HPG
2019-03-08,11750,12030,11710,11900,4654840,HPG
2019-03-11,11920,11990,11780,11850,4858680,HPG
2019-03-12,11940,11970,11820,11870,5262570,HPG
2019-03-13,11920,12040,11890,12040,3200950,HPG
2019-03-14,12040,12150,11890,11990,4482230,HPG
2019-03-15,11530,11600,11170,11180,17029640,HPG
2019-03-18,11040,11360,10710,11170,10578940,HPG
2019-03-19,11150,11200,10900,11180,7385900,HPG
2019-03-20,11040,11430,11040,11320,5625190,HPG
2019-03-21,11320,11380,11200,11220,2737980,HPG
2019-03-22,11250,11290,11170,11200,4192750,HPG
2019-03-25,10900,11100,10900,11010,3736290,HPG
2019-03-26,11080,11130,10970,11080,3515960,HPG
2019-03-27,11180,11340,11100,11340,2539450,HPG
2019-03-28,11270,11380,11250,11380,2513150,HPG
2019-03-29,11410,11460,11180,11290,6534270,HPG
2019-04-01,11240,11290,11180,11200,3670350,HPG
2019-04-02,11290,11310,11200,11250,1796860,HPG
2019-04-03,11220,11270,11180,11250,3775800,HPG
2019-04-04,11270,11360,11220,11360,2765210,HPG
2019-04-05,11360,11450,11310,11390,1836710,HPG
2019-04-08,11390,11450,11320,11360,1380890,HPG
2019-04-09,11380,11390,11220,11250,2884050,HPG
2019-04-10,11220,11240,11100,11200,2207380,HPG
2019-04-11,11220,11240,11170,11200,1516930,HPG
2019-04-12,11200,11240,11170,11240,1576930,HPG
2019-04-16,11180,11220,11060,11130,1546470,HPG
2019-04-17,11130,11170,11040,11080,1860340,HPG
2019-04-18,11010,11060,10970,10970,2388910,HPG
2019-04-19,10990,11110,10990,11080,1213930,HPG
2019-04-22,10990,11250,10990,11170,1823920,HPG
2019-04-23,11220,11220,11170,11180,1685950,HPG
2019-04-24,11220,11690,11180,11690,5801340,HPG
2019-04-25,11750,11800,11570,11600,4094750,HPG
2019-04-26,11640,11850,11600,11780,2820780,HPG
2019-05-02,11820,11920,11670,11920,3807620,HPG
2019-05-03,11920,12060,11820,11970,3495970,HPG
2019-05-06,11710,11850,11640,11730,4500050,HPG
2019-05-07,11850,11850,11710,11750,2820070,HPG
2019-05-08,11660,11670,11570,11620,2812600,HPG
2019-05-09,11590,11660,11430,11530,2112430,HPG
2019-05-10,11600,11640,11430,11520,1909270,HPG
2019-05-13,11550,11550,11220,11240,3810530,HPG
2019-05-14,11110,11360,11110,11360,1820770,HPG
2019-05-15,11360,11460,11320,11360,2537170,HPG
2019-05-16,11380,11460,11320,11320,1378610,HPG
2019-05-17,11320,11360,11290,11310,1491570,HPG
2019-05-20,11310,11590,11310,11500,2216410,HPG
2019-05-21,11550,11640,11500,11530,2147580,HPG
2019-05-22,11570,11710,11530,11570,2514350,HPG
2019-05-23,11570,11590,11450,11480,2533270,HPG
2019-05-24,11390,11450,11270,11270,3667800,HPG
2019-05-27,11250,11340,11250,11290,1699260,HPG
2019-05-28,11390,11390,11240,11240,2839040,HPG
2019-05-29,11320,11390,11240,11390,1660260,HPG
2019-05-30,11390,11390,11200,11220,4194290,HPG
2019-05-31,11220,11290,11220,11250,3394280,HPG
2019-06-03,11240,11250,11010,11040,12274790,HPG
2019-06-04,11200,11290,10950,11070,3337800,HPG
2019-06-05,11110,11250,10790,10840,2988710,HPG
2019-06-06,10880,10880,10180,10340,7082600,HPG
2019-06-07,10470,10610,10410,10450,5101320,HPG
2019-06-10,10590,10660,10410,10430,6567230,HPG
2019-06-11,10470,10570,10340,10470,4409100,HPG
2019-06-12,10430,10590,10410,10520,3132550,HPG
2019-06-13,10660,10660,10430,10470,2523260,HPG
2019-06-14,10470,10500,10450,10450,2068100,HPG
2019-06-17,10450,10470,10220,10220,3644160,HPG
2019-06-18,10220,10520,10220,10500,5058220,HPG
2019-06-19,10860,10860,10610,10860,8365940,HPG
2019-06-20,10980,10980,10750,10750,4370160,HPG
2019-06-21,10880,10880,10750,10790,4429070,HPG
2019-06-24,10840,10950,10610,10630,3089270,HPG
2019-06-25,10570,10660,10470,10520,3284860,HPG
2019-06-26,10500,10590,10430,10430,1906040,HPG
2019-06-27,10430,10450,10270,10270,3756880,HPG
2019-06-28,10270,10700,10220,10700,3923340,HPG
2019-07-01,10570,10610,10380,10470,3836540,HPG
2019-07-02,10470,10470,10270,10290,4776600,HPG
2019-07-03,10290,10320,10060,10090,6315440,HPG
2019-07-04,10020,10250,10020,10160,5056190,HPG
2019-07-05,10160,10220,10090,10160,3066930,HPG
2019-07-08,10110,10160,9880,9910,7429100,HPG
2019-07-09,9930,10000,9720,9720,6316400,HPG
2019-07-10,9750,9910,9700,9720,3745990,HPG
2019-07-11,9750,9860,9750,9810,3104040,HPG
2019-07-12,9880,10020,9860,9970,3366890,HPG
2019-07-15,9880,10020,9770,9770,3902390,HPG
2019-07-16,9840,9860,9770,9840,3475800,HPG
2019-07-17,9860,9860,9700,9720,5461170,HPG
2019-07-18,9720,9750,9500,9540,8482000,HPG
2019-07-19,9560,9650,9290,9380,11182000,HPG
2019-07-22,9380,9650,9240,9450,6886080,HPG
2019-07-23,9470,9910,9470,9880,9013000,HPG
2019-07-24,9880,9930,9750,9810,3697610,HPG
2019-07-25,9790,10200,9790,10200,9473450,HPG
2019-07-26,10290,10500,10220,10270,9789570,HPG
2019-07-29,10270,10270,9910,10060,6954310,HPG
2019-07-30,10060,10110,9790,9790,6111110,HPG
2019-07-31,9750,10270,9700,10270,6538340,HPG
