time,open,high,low,close,volume,ticker
2019-01-02,17140,17450,16580,16580,87370,KDH
2019-01-03,16500,16610,16500,16580,251400,KDH
2019-01-04,16530,16580,15810,16580,156980,KDH
2019-01-07,16580,16610,16129,16550,131920,KDH
2019-01-08,16500,16550,16280,16550,171050,KDH
2019-01-09,16500,16530,16390,16450,461130,KDH
2019-01-10,16450,16450,16309,16390,170310,KDH
2019-01-11,16360,16390,16210,16239,178890,KDH
2019-01-14,16239,16239,15810,16050,259180,KDH
2019-01-15,16020,16050,15890,15990,169990,KDH
2019-01-16,15990,16260,15960,15990,104570,KDH
2019-01-17,15990,15990,15860,15960,103460,KDH
2019-01-18,15890,15960,15750,15890,165200,KDH
2019-01-21,15840,15910,15780,15890,147440,KDH
2019-01-22,15860,15990,15860,15990,87430,KDH
2019-01-23,15990,16020,15940,15990,98760,KDH
2019-01-24,15990,16020,15910,15990,132340,KDH
2019-01-25,15990,15990,15910,15960,90800,KDH
2019-01-28,15960,16020,15940,16020,82350,KDH
2019-01-29,16020,16070,15990,16020,122630,KDH
2019-01-30,16020,16070,16020,16020,87400,KDH
2019-01-31,16050,16100,15990,16020,67810,KDH
2019-02-01,16020,16050,15960,16050,55400,KDH
2019-02-11,16050,16100,16020,16070,131440,KDH
2019-02-12,16100,16500,16070,16180,252350,KDH
2019-02-13,16180,16340,16100,16180,212390,KDH
2019-02-14,16129,16180,16100,16100,141000,KDH
2019-02-15,16100,16760,16050,16610,267500,KDH
2019-02-18,16610,16650,16340,16550,139080,KDH
2019-02-19,16500,16550,16420,16450,190540,KDH
2019-02-20,16420,16650,16280,16580,275600,KDH
2019-02-21,16610,16650,16550,16610,169000,KDH
2019-02-22,16610,16610,16450,16500,147320,KDH
2019-02-25,16500,16550,16420,16500,92330,KDH
2019-02-26,16500,16710,16500,16610,221550,KDH
2019-02-27,16580,16930,16390,16500,651580,KDH
2019-02-28,16500,16550,16390,16390,125290,KDH
2019-03-01,16390,16550,16360,16500,156220,KDH
2019-03-04,16550,17350,16550,17030,562140,KDH
2019-03-05,17030,17080,16930,16950,190650,KDH
2019-03-06,16950,16980,16500,16710,180970,KDH
2019-03-07,16710,16760,16500,16500,280510,KDH
2019-03-08,16470,16470,16129,16280,553310,KDH
2019-03-11,16340,16530,16239,16530,156780,KDH
2019-03-12,16530,16760,16530,16760,239600,KDH
2019-03-13,16580,16760,16470,16610,188400,KDH
2019-03-14,16610,16610,16470,16580,132150,KDH
2019-03-15,16530,16610,16530,16610,146140,KDH
2019-03-18,16650,16710,16610,16610,101670,KDH
2019-03-19,16610,16950,16610,16760,275540,KDH
2019-03-20,16760,16900,16740,16820,217840,KDH
2019-03-21,16870,16930,16650,16790,209480,KDH
2019-03-22,16760,16790,16680,16710,178570,KDH
2019-03-25,16610,16610,16239,16340,239460,KDH
2019-03-26,16390,16550,16390,16500,110200,KDH
2019-03-27,16500,16680,16500,16550,72790,KDH
2019-03-28,16550,17250,16530,17080,423690,KDH
2019-03-29,17190,17190,16870,16870,194020,KDH
2019-04-01,16870,17080,16850,17030,199600,KDH
2019-04-02,17030,17750,16950,17140,587480,KDH
2019-04-03,17140,17140,16980,16980,129340,KDH
2019-04-04,16980,17140,16980,17000,135620,KDH
2019-04-05,17000,17620,16790,17350,358260,KDH
2019-04-08,17190,17400,17030,17140,206700,KDH
2019-04-09,17190,17250,16760,16760,452470,KDH
2019-04-10,16740,16870,16530,16650,510980,KDH
2019-04-11,16650,16870,16470,16530,498860,KDH
