time,open,high,low,close,volume,ticker
2019-01-02,8029,8100,7970,7970,3645490,MBB
2019-01-03,7990,7990,7620,7620,8560650,MBB
2019-01-04,7570,7780,7430,7660,6057970,MBB
2019-01-07,7820,7930,7780,7800,4139200,MBB
2019-01-08,7820,7860,7720,7760,3172190,MBB
2019-01-09,7820,8010,7800,7970,5914110,MBB
2019-01-10,7970,8029,7930,7970,2885650,MBB
2019-01-11,7970,8010,7890,7930,3326770,MBB
2019-01-14,7890,7950,7780,7820,4754200,MBB
2019-01-15,7820,8100,7820,8029,5908240,MBB
2019-01-16,8080,8130,7970,8010,2505890,MBB
2019-01-17,8010,8230,8010,8130,6675580,MBB
2019-01-18,8170,8189,8080,8130,3041270,MBB
2019-01-21,8430,8690,8370,8650,9970870,MBB
2019-01-22,8650,8670,8480,8480,5700760,MBB
2019-01-23,8460,8570,8430,8520,2458540,MBB
2019-01-24,8540,8730,8520,8730,4912140,MBB
2019-01-25,8730,8770,8670,8710,3310930,MBB
2019-01-28,8690,8730,8630,8670,2873640,MBB
2019-01-29,8650,8790,8570,8770,3966560,MBB
2019-01-30,8770,9000,8730,8970,6716410,MBB
2019-01-31,9060,9120,9000,9020,7340190,MBB
2019-02-01,8970,9040,8940,9000,3947520,MBB
2019-02-11,9040,9100,9020,9090,4238890,MBB
2019-02-12,9120,9120,8940,9060,8163220,MBB
2019-02-13,9060,9100,9040,9060,7793680,MBB
2019-02-14,9060,9100,9040,9100,5052420,MBB
2019-02-15,9100,9120,9060,9090,4795580,MBB
2019-02-18,9100,9140,9090,9100,6665490,MBB
2019-02-19,9100,9100,9020,9040,13646940,MBB
2019-02-20,8970,9090,8970,9090,9694170,MBB
2019-02-21,9060,9100,9040,9100,7998970,MBB
2019-02-22,9100,9430,9060,9260,7449760,MBB
2019-02-25,9300,9390,9240,9240,4963740,MBB
2019-02-26,9240,9240,9090,9090,6790020,MBB
2019-02-27,9090,9140,9060,9090,11767870,MBB
2019-02-28,9060,9090,8850,8850,5837530,MBB
2019-03-01,8910,9000,8870,8970,2610160,MBB
2019-03-04,8970,9120,8960,9120,3669110,MBB
2019-03-05,9090,9230,9090,9120,4786880,MBB
2019-03-06,9120,9180,9060,9120,2290120,MBB
2019-03-07,9120,9180,9100,9140,3164810,MBB
2019-03-08,9060,9100,8970,9000,3277410,MBB
2019-03-11,9040,9040,8960,8970,1529570,MBB
