time,open,high,low,close,volume,ticker
2019-01-02,27580,27580,27100,27100,351730,MWG
2019-01-03,27100,27170,26310,26310,703060,MWG
2019-01-04,26310,26540,25990,26500,432170,MWG
2019-01-07,26620,27100,26570,26940,398000,MWG
2019-01-08,26940,26940,26620,26620,172180,MWG
2019-01-09,26620,27170,26620,27070,440950,MWG
2019-01-10,27070,27260,26850,27260,285290,MWG
2019-01-11,27260,27260,26940,26940,360780,MWG
2019-01-14,26940,26940,26620,26940,454580,MWG
2019-01-15,26940,27170,26720,27170,871010,MWG
2019-01-16,27100,27520,27040,27040,1761330,MWG
2019-01-17,27260,27260,27010,27040,457130,MWG
2019-01-18,27010,27100,26750,26750,195210,MWG
2019-01-21,26750,26810,26470,26540,440920,MWG
2019-01-22,26570,26780,26540,26570,141590,MWG
2019-01-23,26570,26620,26470,26500,176570,MWG
2019-01-24,26500,26590,26410,26500,147770,MWG
2019-01-25,26500,26590,26380,26380,223510,MWG
2019-01-28,26380,26690,26380,26500,270250,MWG
2019-01-29,26500,27100,26280,27100,461840,MWG
2019-01-30,26780,26880,26500,26500,263110,MWG
2019-01-31,26620,26780,26310,26310,206030,MWG
2019-02-01,26540,26690,26280,26310,420360,MWG
2019-02-11,26470,26810,26470,26810,355460,MWG
2019-02-12,26810,27040,26810,26810,343450,MWG
2019-02-13,26810,27330,26810,27330,1212540,MWG
2019-02-14,27330,27390,27100,27170,668840,MWG
2019-02-15,27170,27360,27040,27290,717740,MWG
2019-02-18,27420,27450,27230,27290,455150,MWG
2019-02-19,27290,27800,27290,27580,1911250,MWG
2019-02-20,27580,27760,27550,27610,592890,MWG
2019-02-21,27610,27860,27610,27860,781820,MWG
2019-02-22,27800,28440,27610,28210,1190030,MWG
2019-02-25,28530,28910,28370,28400,1273860,MWG
2019-02-26,28470,28470,27960,28050,797730,MWG
2019-02-27,28180,28340,27830,27960,575710,MWG
2019-02-28,27960,28120,27520,27520,1160450,MWG
2019-03-01,27760,27860,27580,27730,431190,MWG
2019-03-04,28050,28340,27670,28210,769420,MWG
2019-03-05,28210,28530,27830,27830,706580,MWG
2019-03-06,27890,27990,27670,27920,536430,MWG
2019-03-07,28050,28050,27760,27800,458460,MWG
2019-03-08,27580,27700,27390,27450,830580,MWG
2019-03-11,27550,27860,27550,27700,358070,MWG
2019-03-12,27890,28050,27830,28050,667370,MWG
2019-03-13,28050,28530,28050,28340,1079120,MWG
2019-03-14,28370,28370,28050,28210,530270,MWG
2019-03-15,28210,28310,27990,28080,456820,MWG
2019-03-18,28080,28310,28050,28280,722860,MWG
2019-03-19,28310,28840,28180,28240,1161490,MWG
2019-03-20,28050,28310,27890,28050,431600,MWG
2019-03-21,28050,28240,27860,27860,706020,MWG
2019-03-22,27860,27920,27580,27640,671770,MWG
2019-03-25,27420,27420,26570,26570,1163400,MWG
2019-03-26,26940,27010,26590,26650,588520,MWG
2019-03-27,26780,26910,26750,26750,207810,MWG
2019-03-28,26780,26850,26650,26750,352840,MWG
2019-03-29,26810,27010,26780,26880,285550,MWG
2019-04-01,26880,26970,26620,26650,484640,MWG
2019-04-02,26910,26970,26650,26650,287660,MWG
2019-04-03,26780,26780,26540,26570,235540,MWG
2019-04-04,26570,26720,26440,26470,317500,MWG
2019-04-05,26180,26720,26180,26650,354560,MWG
2019-04-08,26780,26780,26470,26620,186580,MWG
2019-04-09,26620,26650,26380,26540,275970,MWG
2019-04-10,26440,26500,26060,26250,401860,MWG
