time,open,high,low,close,volume,ticker
2019-01-02,35913,35913,34967,35913,478860,NVL
2019-01-03,35579,35579,34911,35078,629490,NVL
2019-01-04,34800,35357,33965,35190,626290,NVL
2019-01-07,34800,35078,34020,34521,721650,NVL
2019-01-08,34521,34521,32127,32127,621630,NVL
2019-01-09,32183,33408,29900,32740,1165350,NVL
2019-01-10,32294,33296,32294,32962,470210,NVL
2019-01-11,32573,33296,32573,33018,627520,NVL
2019-01-14,32573,32684,31682,32350,717640,NVL
2019-01-15,32016,32517,31682,32350,573010,NVL
2019-01-16,32127,32350,31626,32016,475490,NVL
2019-01-17,31793,32016,31626,31626,396210,NVL
2019-01-18,31626,32016,31626,31737,324670,NVL
2019-01-21,31737,31960,31682,31793,354580,NVL
2019-01-22,31849,31904,31292,31682,535670,NVL
2019-01-23,31682,31849,31459,31849,453150,NVL
2019-01-24,31793,31904,31570,31793,412780,NVL
2019-01-25,31793,31960,31181,31737,352410,NVL
2019-01-28,31737,31849,31626,31793,421070,NVL
2019-01-29,31793,31960,31570,31960,508370,NVL
2019-01-30,31737,31904,31682,31793,394750,NVL
2019-01-31,31737,31849,31348,31515,554770,NVL
2019-02-01,31515,31682,31069,31570,571270,NVL
2019-02-11,31626,32238,31570,32016,440830,NVL
2019-02-12,32016,32183,31904,32016,426710,NVL
2019-02-13,32016,32183,31793,32016,456420,NVL
2019-02-14,32071,32962,32016,32238,656330,NVL
2019-02-15,32238,32461,32016,32016,511960,NVL
2019-02-18,32016,32405,32016,32238,583930,NVL
2019-02-19,32238,32405,32183,32294,634820,NVL
2019-02-20,32183,32405,32183,32350,424150,NVL
2019-02-21,32350,32461,32183,32461,720560,NVL
2019-02-22,32517,32907,32294,32517,592190,NVL
2019-02-25,32573,34132,32573,33296,735710,NVL
2019-02-26,33686,34076,33074,33074,443700,NVL
2019-02-27,33074,33686,33074,33185,652490,NVL
2019-02-28,33408,33798,32016,32016,1361480,NVL
2019-03-01,31793,32962,31793,32962,495790,NVL
2019-03-04,32962,33408,32628,33129,500190,NVL
2019-03-05,33018,33241,32573,32740,536160,NVL
2019-03-06,32740,32740,31515,31737,880920,NVL
2019-03-07,31737,32238,31737,31960,472630,NVL
2019-03-08,31737,32684,31737,32016,445530,NVL
2019-03-11,32294,33742,32294,33463,662430,NVL
2019-03-12,33519,34800,33519,34800,1139030,NVL
2019-03-13,34800,34967,33965,34076,359170,NVL
2019-03-14,33965,34577,33686,34466,394680,NVL
2019-03-15,34521,34855,33352,33352,2531220,NVL
2019-03-18,33519,33965,32851,32962,428600,NVL
2019-03-19,33018,33129,32405,32517,413930,NVL
2019-03-20,32573,32962,32461,32461,434440,NVL
2019-03-21,32294,32740,31737,31737,493820,NVL
2019-03-22,31849,32238,31682,31960,409030,NVL
2019-03-25,31181,31737,31181,31403,522710,NVL
2019-03-26,31403,31793,31403,31515,530190,NVL
2019-03-27,31737,31960,31515,31626,417910,NVL
2019-03-28,31682,32071,31292,31292,534170,NVL
2019-03-29,31348,31737,30958,31069,972430,NVL
2019-04-01,31181,31515,30735,30902,752930,NVL
2019-04-02,31013,31181,30791,31069,465220,NVL
2019-04-03,30846,31626,30846,31292,420450,NVL
2019-04-04,31459,31682,31348,31348,430400,NVL
2019-04-05,31459,31849,31459,31682,303290,NVL
2019-04-08,31849,32016,31737,31793,421280,NVL
2019-04-09,31849,31960,31459,31515,339610,NVL
2019-04-10,31459,31793,31292,31515,375930,NVL
2019-04-11,31570,31737,31515,31570,351620,NVL
2019-04-12,31570,31737,31181,31181,457630,NVL
2019-04-16,30902,31236,30624,31125,393490,NVL
2019-04-17,31125,31570,31013,31292,405960,NVL
2019-04-18,31181,31682,30902,31403,438370,NVL
2019-04-19,31459,31849,31459,31849,327400,NVL
2019-04-22,32016,32127,31737,31904,401150,NVL
2019-04-23,31960,32573,31849,32350,441410,NVL
2019-04-24,32573,32851,32350,32517,373240,NVL
2019-04-25,32517,32573,32016,32405,310850,NVL
2019-04-26,32294,33018,32294,32907,616910,NVL
2019-05-02,32962,32962,32238,32573,369380,NVL
2019-05-03,32573,33129,32350,33129,542070,NVL
2019-05-06,33074,33074,32238,32350,423290,NVL
2019-05-07,32294,32573,31626,31737,489700,NVL
2019-05-08,31626,32016,31459,31960,381130,NVL
2019-05-09,31904,32294,31849,32127,303290,NVL
2019-05-10,32127,32628,32127,32517,424240,NVL
2019-05-13,32517,32517,32183,32405,422530,NVL
2019-05-14,32294,32517,32183,32461,394650,NVL
2019-05-15,32517,32628,32350,32573,426210,NVL
2019-05-16,32573,32795,32573,32573,554790,NVL
2019-05-17,32573,32740,32573,32573,432960,NVL
2019-05-20,32628,33241,32628,33074,531930,NVL
2019-05-21,33241,33241,32851,32851,403610,NVL
2019-05-22,32127,32962,32127,32127,390180,NVL
2019-05-23,32127,32461,31960,32405,359960,NVL
2019-05-24,32405,33018,32183,32405,420410,NVL
2019-05-27,32405,32628,32405,32461,436640,NVL
2019-05-28,32461,32684,32238,32573,462070,NVL
2019-05-29,32573,32907,32405,32907,504600,NVL
2019-05-30,32851,33630,32795,33463,709510,NVL
2019-05-31,33686,33853,33463,33519,854450,NVL
2019-06-03,33408,33853,33241,33408,695210,NVL
2019-06-04,33296,33630,32851,33519,601300,NVL
2019-06-05,33630,33909,33463,33686,465920,NVL
2019-06-06,33408,33798,32907,33575,561760,NVL
2019-06-07,33630,34076,33575,33798,579760,NVL
2019-06-10,33909,34243,33185,33798,642850,NVL
2019-06-11,33798,33965,33630,33686,621730,NVL
2019-06-12,33686,33853,33352,33352,466730,NVL
2019-06-13,33129,33463,32740,32851,546740,NVL
2019-06-14,32851,33129,32851,33074,553300,NVL
2019-06-17,32962,33129,32016,32183,596190,NVL
2019-06-18,32183,32294,31570,31626,514910,NVL
2019-06-19,31960,32071,31682,31960,374040,NVL
2019-06-20,31960,32405,31849,32071,437220,NVL
2019-06-21,31737,32238,31013,31737,1265270,NVL
2019-06-24,31737,32294,31737,32238,446590,NVL
2019-06-25,32238,32962,31793,32573,425910,NVL
2019-06-26,32573,33408,32350,33352,538680,NVL
2019-06-27,33296,33519,32851,33129,524560,NVL
2019-06-28,33185,33241,32573,33185,587910,NVL
2019-07-01,33241,34243,33241,33798,606940,NVL
2019-07-02,33798,33909,33408,33519,436450,NVL
2019-07-03,33519,33519,32573,32684,561990,NVL
2019-07-04,32684,33408,32684,33296,599060,NVL
2019-07-05,33296,33686,32684,33575,699870,NVL
2019-07-08,33519,33575,33296,33519,591610,NVL
2019-07-09,33519,33519,32851,33463,507590,NVL
2019-07-10,33519,33965,33463,33853,596220,NVL
2019-07-11,33909,34243,33853,34243,674460,NVL
2019-07-12,34243,34354,33965,33965,415550,NVL
2019-07-15,34243,34132,33408,33519,421920,NVL
2019-07-16,33519,33686,33296,33630,842500,NVL
2019-07-17,33630,33630,33018,33129,423500,NVL
2019-07-18,33686,33686,32183,32183,548040,NVL
2019-07-19,32294,32684,32183,32405,461110,NVL
2019-07-22,32405,32573,32016,32071,334520,NVL
