time,open,high,low,close,volume,ticker
2019-01-02,9840,9870,9680,9760,635920,PDR
2019-01-03,9720,9760,9530,9680,555930,PDR
2019-01-04,9600,9800,9510,9740,511650,PDR
2019-01-07,9740,9840,9640,9680,661440,PDR
2019-01-08,9680,9740,9550,9680,291750,PDR
2019-01-09,9680,9820,9620,9680,492820,PDR
2019-01-10,9680,10030,9510,10030,587780,PDR
2019-01-11,10030,10030,9760,9990,632740,PDR
2019-01-14,9990,10030,9820,9890,421970,PDR
2019-01-15,9870,9970,9740,9910,459160,PDR
2019-01-16,9950,9950,9700,9910,448210,PDR
2019-01-17,9870,9910,9640,9870,394500,PDR
2019-01-18,9840,9870,9620,9840,649650,PDR
2019-01-21,9800,9840,9680,9780,442840,PDR
2019-01-22,9780,9870,9620,9840,578600,PDR
2019-01-23,9840,9840,9640,9760,476100,PDR
2019-01-24,9760,9780,9590,9640,692810,PDR
2019-01-25,9640,9680,9570,9660,319520,PDR
2019-01-28,9640,9870,9640,9870,634300,PDR
2019-01-29,9860,10050,9780,10030,803300,PDR
2019-01-30,9990,10220,9930,10090,794390,PDR
2019-01-31,10110,10110,9930,9930,608720,PDR
2019-02-01,9930,10140,9910,10140,552180,PDR
2019-02-11,10140,10340,10140,10220,1052470,PDR
2019-02-12,10220,10450,10220,10410,1225630,PDR
2019-02-13,10410,10470,10280,10380,811840,PDR
2019-02-14,10380,10410,10260,10340,730000,PDR
2019-02-15,10340,10340,10240,10340,616710,PDR
2019-02-18,10340,10410,10220,10340,680910,PDR
2019-02-19,10340,10380,10220,10260,675680,PDR
2019-02-20,10260,10280,10180,10240,605000,PDR
2019-02-21,10240,10340,10200,10240,726710,PDR
2019-02-22,10240,10320,10220,10260,560690,PDR
2019-02-25,10260,10340,10200,10340,821140,PDR
2019-02-26,10340,10360,10180,10300,559640,PDR
2019-02-27,10300,10320,10130,10220,485610,PDR
2019-02-28,10220,10220,10070,10070,365250,PDR
2019-03-01,10070,10180,10050,10110,755970,PDR
2019-03-04,10140,10340,10110,10300,915870,PDR
2019-03-05,10300,10410,10180,10320,755340,PDR
2019-03-06,10320,10340,10260,10340,428820,PDR
2019-03-07,10340,10400,10280,10340,471870,PDR
2019-03-08,10320,10320,10160,10220,379110,PDR
2019-03-11,10220,10360,10140,10340,820930,PDR
2019-03-12,10340,10880,10300,10880,2154530,PDR
2019-03-13,10990,10990,10800,10990,1546810,PDR
2019-03-14,10990,11190,10860,11190,1762340,PDR
2019-03-15,11150,11190,10860,11190,981970,PDR
2019-03-18,11190,11190,10950,11190,1040810,PDR
2019-03-19,11190,11190,10950,10950,973040,PDR
2019-03-20,10950,10950,10720,10880,838660,PDR
2019-03-21,10880,10990,10610,10610,877170,PDR
2019-03-22,10610,10760,10590,10650,593820,PDR
2019-03-25,10610,10680,10570,10650,676240,PDR
2019-03-26,10680,10760,10570,10650,590060,PDR
2019-03-27,10650,10680,10570,10680,531090,PDR
2019-03-28,10650,10720,10590,10720,652370,PDR
2019-03-29,10720,11010,10720,10990,1531510,PDR
2019-04-01,11030,11260,11030,11110,1248030,PDR
2019-04-02,11110,11190,10990,10990,906050,PDR
2019-04-03,10990,11150,10970,11110,1377140,PDR
2019-04-04,11110,11150,10950,10990,803890,PDR
2019-04-05,10990,11070,10970,11050,892480,PDR
2019-04-08,11050,11420,11050,11420,2152880,PDR
2019-04-09,11420,11440,11150,11190,931200,PDR
2019-04-10,11110,11150,10970,11070,641170,PDR
2019-04-11,11070,11220,10950,11130,885890,PDR
2019-04-12,11130,11240,11050,11190,1106700,PDR
2019-04-16,11150,11190,11010,11110,651390,PDR
2019-04-17,11110,11220,11050,11110,821700,PDR
2019-04-18,11070,11150,10860,10950,860710,PDR
2019-04-19,10990,11070,10860,10880,364160,PDR
2019-04-22,10880,10920,10610,10720,692070,PDR
2019-04-23,10720,10800,10680,10760,1289910,PDR
2019-04-24,10810,11050,10760,11050,1131420,PDR
2019-04-25,11050,11050,10880,11050,855590,PDR
2019-04-26,11050,11140,10930,11140,1434000,PDR
2019-05-02,11140,11160,11050,11160,812760,PDR
2019-05-03,11160,11210,11120,11120,1008390,PDR
2019-05-06,11050,11050,10810,10980,643030,PDR
2019-05-07,10980,11050,10830,10830,688150,PDR
2019-05-08,10830,10830,10740,10830,438880,PDR
2019-05-09,10830,10900,10810,10830,500700,PDR
2019-05-10,10830,10950,10810,10950,769260,PDR
2019-05-13,10950,11020,10900,11000,962750,PDR
2019-05-14,11000,11070,10930,11000,742550,PDR
2019-05-15,11000,11430,11000,11430,1588030,PDR
2019-05-16,11470,11900,11430,11900,2437580,PDR
2019-05-17,11900,11950,11660,11710,880530,PDR
2019-05-20,11710,11760,11520,11570,834830,PDR
2019-05-21,11570,11660,11520,11520,881900,PDR
2019-05-22,11570,11570,11500,11570,905320,PDR
2019-05-23,11570,11830,11570,11780,1447280,PDR
2019-05-24,11760,11830,11570,11710,831420,PDR
2019-05-27,11710,11780,11640,11710,695110,PDR
2019-05-28,11710,11760,11590,11710,610630,PDR
2019-05-29,11710,11730,11590,11620,908970,PDR
2019-05-30,11660,11710,11590,11690,823350,PDR
2019-05-31,11690,11710,11470,11470,716840,PDR
2019-06-03,11430,11540,11380,11380,773300,PDR
2019-06-04,11380,11470,11330,11380,662810,PDR
2019-06-05,11400,11620,11400,11570,1107770,PDR
2019-06-06,11570,11620,11500,11570,518690,PDR
2019-06-07,11570,11800,11540,11760,1428580,PDR
2019-06-10,11760,12090,11690,11990,1662010,PDR
2019-06-11,11990,12090,11850,11950,718690,PDR
2019-06-12,11900,11990,11760,11760,662490,PDR
2019-06-13,11710,11710,11540,11710,832360,PDR
2019-06-14,11710,11850,11710,11710,826140,PDR
2019-06-17,11710,11760,11620,11710,560560,PDR
