time,open,high,low,close,volume,ticker
2019-01-02,44630,45870,44630,44970,380020,PLX
2019-01-03,44970,45460,43390,44300,450490,PLX
2019-01-04,43810,45630,43810,45380,302070,PLX
2019-01-07,45870,46040,45550,45630,187920,PLX
2019-01-08,45870,45870,44050,44710,352050,PLX
2019-01-09,45380,45630,44630,44800,343920,PLX
2019-01-10,45290,45700,44970,45550,280830,PLX
2019-01-11,45790,46280,45460,45700,337760,PLX
2019-01-14,45700,45870,44710,45380,125040,PLX
2019-01-15,45380,46120,45120,45700,230330,PLX
2019-01-16,46280,46530,45790,45870,252480,PLX
2019-01-17,45870,46040,45210,45210,197100,PLX
2019-01-18,45210,45630,44970,44970,188280,PLX
2019-01-21,45460,46210,44880,45700,273200,PLX
2019-01-22,45460,45460,44140,44220,729490,PLX
2019-01-23,43810,44550,43810,43970,486420,PLX
2019-01-24,43970,44470,43890,43970,653530,PLX
2019-01-25,43970,44550,43970,44470,169160,PLX
2019-01-28,44630,44800,44140,44220,516670,PLX
2019-01-29,44140,44300,43890,44220,311730,PLX
2019-01-30,44220,44390,44050,44050,452470,PLX
2019-01-31,44630,45120,44050,44550,911200,PLX
2019-02-01,44300,44800,44220,44220,1199400,PLX
2019-02-11,45050,45960,44800,45960,746520,PLX
2019-02-12,46280,46530,45790,46040,957300,PLX
2019-02-13,46040,47360,46040,47200,1941970,PLX
2019-02-14,47110,47440,46790,46860,1004440,PLX
2019-02-15,46860,47610,46700,46860,1351010,PLX
2019-02-18,47110,48770,47110,48770,2268090,PLX
2019-02-19,48600,48770,47520,47690,1293550,PLX
2019-02-20,47690,47690,46790,46940,927820,PLX
2019-02-21,47030,48270,47030,48190,1723040,PLX
2019-02-22,47780,48770,47780,48350,1129680,PLX
2019-02-25,48770,49090,48440,48440,1366700,PLX
2019-02-26,48270,48350,47110,47110,1456500,PLX
2019-02-27,47520,47610,46620,46860,1784860,PLX
2019-02-28,47110,47520,46530,46700,2532900,PLX
2019-03-01,47110,48510,46700,48440,2076360,PLX
2019-03-04,48440,50250,48440,49920,3433740,PLX
2019-03-05,49510,50090,48850,49090,2693520,PLX
2019-03-06,49180,50830,49090,50830,3156200,PLX
2019-03-07,50830,51250,50330,50420,1802470,PLX
2019-03-08,49920,50830,49750,50010,2534770,PLX
2019-03-11,50010,50180,49430,49920,2131290,PLX
2019-03-12,50590,51250,50250,51250,2858810,PLX
2019-03-13,51250,51900,50910,51080,2346380,PLX
2019-03-14,51660,51660,50420,50590,1532650,PLX
2019-03-15,50590,51740,50330,51580,2274270,PLX
2019-03-18,51580,52320,51000,51660,1714570,PLX
2019-03-19,51660,51900,51080,51330,1816150,PLX
2019-03-20,51000,51250,50250,51000,1699650,PLX
2019-03-21,51250,51410,47930,49180,2115260,PLX
2019-03-22,49510,49510,48680,48770,1606140,PLX
2019-03-25,47860,48350,47440,47930,1861980,PLX
2019-03-26,48680,48680,47520,47690,1212450,PLX
2019-03-27,48680,48770,47930,48600,621860,PLX
2019-03-28,48270,49340,47930,49180,836530,PLX
2019-03-29,49180,49600,49020,49090,1256540,PLX
2019-04-01,49340,50420,49340,50420,1200470,PLX
2019-04-02,50830,51000,49750,49840,655270,PLX
2019-04-03,49840,50500,49750,50250,829910,PLX
2019-04-04,50250,50500,50090,50250,608720,PLX
2019-04-05,50250,50830,50090,50750,773290,PLX
2019-04-08,51250,51830,50830,51740,1412570,PLX
2019-04-09,52070,52070,51080,51080,1635520,PLX
2019-04-10,50670,51080,50180,50420,830410,PLX
2019-04-11,50670,50670,50090,50250,607620,PLX
2019-04-12,50010,50500,49840,50420,424050,PLX
2019-04-16,49750,50590,49750,50420,775260,PLX
2019-04-17,50670,51330,50500,50500,1350850,PLX
2019-04-18,50420,50590,49430,50010,538860,PLX
2019-04-19,50090,50420,49920,50180,457310,PLX
2019-04-22,50090,50590,49750,50010,488510,PLX
2019-04-23,50010,50910,50010,50670,757150,PLX
2019-04-24,50750,51160,50750,51080,790290,PLX
2019-04-25,50590,51000,50590,50830,354690,PLX
2019-04-26,50670,51580,50670,51490,1410390,PLX
2019-05-02,51900,51900,51250,51660,443010,PLX
2019-05-03,51660,51660,50910,50910,332640,PLX
2019-05-06,50250,50670,50010,50420,1048040,PLX
2019-05-07,50670,51000,50420,50590,417000,PLX
2019-05-08,50420,50670,50010,50330,415580,PLX
2019-05-09,50330,50590,50010,50090,536070,PLX
2019-05-10,50500,51000,50180,50670,327390,PLX
2019-05-13,50830,50830,50250,50250,257440,PLX
2019-05-14,50250,51580,50250,51580,1070900,PLX
2019-05-15,51830,53720,51830,53230,1828520,PLX
2019-05-16,53230,53720,52900,53230,837330,PLX
2019-05-17,53560,54140,53230,53560,768370,PLX
2019-05-20,53560,54960,53310,54720,1066800,PLX
2019-05-21,54720,54800,53890,54220,736610,PLX
2019-05-22,54800,54960,54220,54800,988930,PLX
2019-05-23,54550,55790,53890,55790,1139760,PLX
2019-05-24,54960,55370,54140,54550,1466210,PLX
2019-05-27,54550,54880,54300,54550,653220,PLX
2019-05-28,54880,55710,54470,55710,760700,PLX
2019-05-29,55460,55460,54960,55220,534840,PLX
2019-05-30,55900,56070,55560,55730,701090,PLX
2019-05-31,55470,55560,54100,54260,1037660,PLX
2019-06-03,51600,53750,51600,52720,1010070,PLX
2019-06-04,53320,53500,52720,53500,385590,PLX
2019-06-05,54180,54180,53230,53320,289450,PLX
2019-06-06,52030,53580,52030,53060,347040,PLX
2019-06-07,53750,53750,52540,53660,329820,PLX
2019-06-10,53660,54260,53500,53660,277790,PLX
2019-06-11,53410,54100,53410,53660,371780,PLX
2019-06-12,53660,53660,53150,53150,276490,PLX
2019-06-13,52720,53320,52630,52890,188640,PLX
2019-06-14,53230,53410,52810,52810,138480,PLX
2019-06-17,53320,53320,52540,52720,204660,PLX
2019-06-18,52540,52890,52200,52460,210760,PLX
2019-06-19,52890,53320,52630,52890,207820,PLX
2019-06-20,53230,54950,52890,54610,839620,PLX
2019-06-21,54180,55040,53920,54180,501900,PLX
2019-06-24,54180,54180,53500,53750,489060,PLX
2019-06-25,53660,53660,53060,53230,589610,PLX
2019-06-26,53230,54100,53230,54010,296970,PLX
2019-06-27,53840,54100,53230,53230,217100,PLX
2019-06-28,53580,53750,51170,51170,597200,PLX
2019-07-01,53320,54440,52980,54440,784510,PLX
2019-07-02,54530,55300,54440,55220,2425770,PLX
2019-07-03,55130,55380,54870,55040,1463210,PLX
2019-07-04,55040,55380,54950,55300,1755450,PLX
2019-07-05,55560,55640,55300,55470,2258300,PLX
2019-07-08,55730,55730,54870,54950,1660650,PLX
2019-07-09,54950,55130,54610,55040,1514430,PLX
2019-07-10,54950,55220,54870,55040,1606680,PLX
2019-07-11,55130,55640,55130,55560,920080,PLX
2019-07-12,55730,55730,55380,55470,3474210,PLX
2019-07-15,55730,55820,55470,55560,446330,PLX
2019-07-16,55470,55560,55130,55300,2151300,PLX
2019-07-17,55380,55560,55130,55300,2686790,PLX
2019-07-18,55300,55380,55130,55220,2228450,PLX
2019-07-19,55220,55380,55130,55130,1465170,PLX
2019-07-22,55040,55470,54870,55220,1367300,PLX
2019-07-23,55220,55470,55130,55220,1450530,PLX
2019-07-24,55470,56940,55470,56760,2628590,PLX
2019-07-25,57190,57190,56250,56500,1070900,PLX
2019-07-26,56500,57100,56330,56590,859570,PLX
2019-07-29,56500,56500,55220,55640,1297120,PLX
2019-07-30,55640,56250,55380,55560,878760,PLX
2019-07-31,55560,56330,55560,56330,1004830,PLX
2019-08-01,56070,56330,55730,55900,525830,PLX
2019-08-02,55130,56160,54610,55900,960480,PLX
2019-08-05,55900,55900,54260,54260,1319140,PLX
2019-08-06,52890,53660,52630,52720,1304750,PLX
2019-08-07,52890,53660,52630,53320,797090,PLX
2019-08-08,52890,53840,52810,53500,457730,PLX
2019-08-09,53500,53750,53320,53500,347730,PLX
2019-08-12,53500,53750,53150,53660,383980,PLX
2019-08-13,53660,54610,53320,54350,691380,PLX
2019-08-14,54440,54700,53660,53660,267530,PLX
2019-08-15,52540,53230,52460,52890,462000,PLX
2019-08-16,52890,53660,52890,53660,399760,PLX
2019-08-19,53660,54180,53660,53840,150370,PLX
2019-08-20,53840,53920,53580,53750,689610,PLX
2019-08-21,53750,54350,53660,53840,562620,PLX
2019-08-22,54010,54010,53750,53840,125060,PLX
2019-08-23,54100,54100,53150,53320,192970,PLX
2019-08-26,52810,52890,52030,52290,594700,PLX
2019-08-27,52460,52720,52030,52630,569790,PLX
2019-08-28,52980,52980,52290,52460,279140,PLX
2019-08-29,52630,52630,52200,52460,401390,PLX
2019-08-30,52630,53150,52540,52890,266590,PLX
2019-09-03,52810,52980,52200,52200,191130,PLX
2019-09-04,52810,52290,51510,52200,339310,PLX
2019-09-05,52290,52630,52200,52460,203850,PLX
2019-09-06,52630,52630,52120,52120,121490,PLX
2019-09-09,52120,53410,52030,53230,384500,PLX
2019-09-10,53230,54100,53230,53320,512930,PLX
2019-09-11,53410,53580,52380,52890,151290,PLX
2019-09-12,53230,53320,52720,52890,124610,PLX
2019-09-13,52460,53580,52460,53150,183100,PLX
2019-09-16,54180,54350,53580,53840,485880,PLX
2019-09-17,53920,54010,53320,53750,143200,PLX
2019-09-18,53660,53660,52630,52720,405970,PLX
2019-09-19,52720,52890,52380,52540,216260,PLX
2019-09-20,52540,52890,52540,52630,312880,PLX
2019-09-23,52630,53150,52630,52980,283030,PLX
2019-09-24,52980,52980,52380,52380,356990,PLX
2019-09-25,52380,52380,51780,51780,426000,PLX
