time,open,high,low,close,volume,ticker
2019-01-02,47100,47400,46480,46480,142060,PNJ
2019-01-03,46480,46850,44870,44980,398110,PNJ
2019-01-04,44220,45480,43660,45480,242880,PNJ
2019-01-07,46230,46480,45780,46190,214970,PNJ
2019-01-08,45980,46190,45480,45980,132390,PNJ
2019-01-09,46330,46330,45730,46230,166090,PNJ
2019-01-10,46330,46850,46030,46640,153450,PNJ
2019-01-11,46740,46790,46430,46740,237830,PNJ
2019-01-14,46690,46740,46230,46430,151770,PNJ
2019-01-15,46030,46480,46030,46430,94060,PNJ
2019-01-16,46690,46690,46190,46330,92390,PNJ
2019-01-17,46090,46280,45480,45480,278850,PNJ
2019-01-18,45730,45730,45080,45080,126480,PNJ
2019-01-21,45190,46430,45190,46330,162760,PNJ
2019-01-22,46330,46370,45780,45780,160140,PNJ
2019-01-23,45620,45980,45620,45730,76830,PNJ
2019-01-24,45730,46090,45730,45830,70270,PNJ
2019-01-25,45830,46690,45830,46480,205020,PNJ
2019-01-28,46990,47690,46740,47600,337020,PNJ
2019-01-29,47800,47800,47240,47500,92370,PNJ
2019-01-30,47500,47600,47290,47400,133150,PNJ
2019-01-31,47500,48250,47500,48010,326950,PNJ
2019-02-01,48250,48250,47500,47800,223210,PNJ
2019-02-11,48450,49270,48300,49270,344550,PNJ
2019-02-12,49270,49270,48500,48910,306350,PNJ
2019-02-13,48910,49790,48560,49310,379710,PNJ
2019-02-14,49370,49730,49060,49110,398610,PNJ
2019-02-15,49170,49170,48860,48860,280730,PNJ
2019-02-18,49170,49170,48500,49170,268310,PNJ
2019-02-19,49170,50480,49170,49470,698600,PNJ
2019-02-20,49630,50060,49470,49960,338710,PNJ
2019-02-21,50170,50270,49630,50010,290870,PNJ
2019-02-22,49580,50380,49580,50060,333910,PNJ
2019-02-25,50270,51290,50270,50540,397930,PNJ
2019-02-26,50800,50800,49370,49630,339880,PNJ
2019-02-27,49680,50220,49420,49840,260850,PNJ
2019-02-28,49790,49790,48710,48710,474790,PNJ
2019-03-01,48710,49790,48710,49790,235110,PNJ
2019-03-04,49920,51130,49920,50990,629820,PNJ
2019-03-05,50940,51130,50270,50590,322490,PNJ
2019-03-06,50220,50990,50220,50480,198530,PNJ
2019-03-07,50480,50800,50270,50430,224060,PNJ
2019-03-08,50010,50270,49840,49920,293560,PNJ
2019-03-11,50010,50270,49840,50270,177090,PNJ
2019-03-12,50800,51130,50330,50480,314170,PNJ
2019-03-13,50480,51540,50480,51540,576240,PNJ
2019-03-14,51790,52660,51640,52660,414880,PNJ
2019-03-15,52660,53000,52100,52560,318000,PNJ
2019-03-18,52560,52660,52100,52560,206710,PNJ
2019-03-19,53050,53050,51540,51700,274850,PNJ
2019-03-20,51700,52050,51030,51290,250190,PNJ
2019-03-21,51290,51840,50800,50800,281010,PNJ
2019-03-22,50800,51790,50120,51640,470560,PNJ
2019-03-25,50540,51030,50010,50380,263520,PNJ
2019-03-26,50380,50990,50060,50380,152410,PNJ
2019-03-27,50430,50800,50270,50480,128380,PNJ
2019-03-28,50060,50480,50060,50330,94860,PNJ
2019-03-29,50330,50640,49960,50270,172610,PNJ
2019-04-01,50270,50800,50120,50690,198660,PNJ
2019-04-02,50990,50990,50120,50380,114830,PNJ
2019-04-03,50540,50540,49960,50010,161530,PNJ
2019-04-04,50170,51030,49790,51030,508480,PNJ
2019-04-05,51490,51490,50800,50800,253480,PNJ
2019-04-08,51030,51230,50640,51180,228910,PNJ
2019-04-09,51490,52400,51330,51330,630570,PNJ
2019-04-10,51030,51230,50430,50480,255050,PNJ
2019-04-11,50990,50990,50480,50640,51790,PNJ
2019-04-12,50220,50540,50220,50330,110800,PNJ
2019-04-16,50120,50220,49790,49880,261580,PNJ
2019-04-17,49920,50640,49880,50120,244000,PNJ
2019-04-18,50120,50120,49170,49170,195450,PNJ
2019-04-19,49170,49790,49170,49370,142320,PNJ
2019-04-22,49520,49790,49060,49790,380410,PNJ
2019-04-23,49790,50540,49790,50430,317750,PNJ
2019-04-24,50640,50640,50330,50540,124360,PNJ
2019-04-25,50430,50540,50060,50170,70420,PNJ
2019-04-26,50170,50640,50010,50590,194500,PNJ
2019-05-02,50690,52050,50640,52050,610080,PNJ
2019-05-03,52050,52660,51840,51890,369240,PNJ
2019-05-06,51180,51540,50540,51490,432670,PNJ
2019-05-07,51540,51590,50990,51330,169030,PNJ
2019-05-08,50640,51330,50640,51030,200610,PNJ
2019-05-09,50850,51180,50270,50430,355930,PNJ
2019-05-10,50800,51030,50330,50800,183020,PNJ
2019-05-13,50800,50940,50690,50940,159350,PNJ
2019-05-14,50990,51290,50800,50990,249390,PNJ
2019-05-15,51030,51940,50990,51790,1053400,PNJ
2019-05-16,52100,52350,51990,51990,361760,PNJ
2019-05-17,52050,52050,51700,51790,245590,PNJ
2019-05-20,51990,54580,51700,54580,1263740,PNJ
2019-05-21,54650,54710,53660,53860,450470,PNJ
2019-05-22,54370,55190,53860,54370,635850,PNJ
2019-05-23,54420,55450,53810,55450,670520,PNJ
2019-05-24,54980,55830,54420,54420,586190,PNJ
2019-05-27,53910,54610,53660,53660,512340,PNJ
2019-05-28,53910,55130,53910,54810,429790,PNJ
2019-05-29,54980,54980,53660,54020,391420,PNJ
2019-05-30,54020,54420,53760,53760,329610,PNJ
2019-05-31,53660,53760,52200,52200,787930,PNJ
2019-06-03,51930,52140,50890,51030,602080,PNJ
2019-06-04,51030,51790,51030,51070,486050,PNJ
2019-06-05,52290,52890,51960,51960,500760,PNJ
2019-06-06,52430,52430,51410,51960,302820,PNJ
2019-06-07,52230,53170,52020,53170,347690,PNJ
2019-06-10,53580,53700,53030,53170,350190,PNJ
2019-06-11,53170,53510,52820,53240,432400,PNJ
2019-06-12,52640,52960,51760,51760,847940,PNJ
2019-06-13,51410,51480,50400,50400,529700,PNJ
2019-06-14,50400,51010,49980,50060,303500,PNJ
2019-06-17,50060,50270,48710,48710,476780,PNJ
2019-06-18,48710,49260,47910,48240,461990,PNJ
2019-06-19,48440,48920,48310,48440,258360,PNJ
2019-06-20,48590,49980,48590,49740,594660,PNJ
2019-06-21,50060,50610,49870,50060,334200,PNJ
2019-06-24,49920,50270,49670,49670,259110,PNJ
2019-06-25,49740,49810,48990,49050,357000,PNJ
2019-06-26,48920,49390,48920,49120,243340,PNJ
2019-06-27,49190,49390,48590,48590,264660,PNJ
2019-06-28,48590,49260,48440,49260,385570,PNJ
2019-07-01,49390,50190,49320,50120,412650,PNJ
2019-07-02,50120,50540,49920,50480,416150,PNJ
2019-07-03,50480,50480,49740,49740,275670,PNJ
2019-07-04,49920,50480,49870,50270,340040,PNJ
2019-07-05,50540,50610,50060,50270,222050,PNJ
2019-07-08,50270,50270,49460,49740,226330,PNJ
2019-07-09,49600,49920,49600,49670,176430,PNJ
2019-07-10,49670,49920,49260,49260,497130,PNJ
2019-07-11,49390,49670,49260,49260,316780,PNJ
2019-07-12,49260,49920,49190,49670,370600,PNJ
2019-07-15,49260,50330,49670,50190,453880,PNJ
2019-07-16,50400,51070,50400,50400,478210,PNJ
2019-07-17,50330,50540,50060,50060,301370,PNJ
2019-07-18,49920,49920,49390,49460,518320,PNJ
2019-07-19,49530,50480,49260,49920,443090,PNJ
2019-07-22,49600,51960,49460,51960,1246490,PNJ
