time,open,high,low,close,volume,ticker
2019-01-02,118940,118940,110620,110620,46990,SAB
2019-01-03,110620,113390,103690,109160,98800,SAB
2019-01-04,109380,109380,104530,108130,8540,SAB
2019-01-07,108130,110270,107160,108500,12270,SAB
2019-01-08,108130,108500,106320,108500,11600,SAB
2019-01-09,108500,110270,106270,108500,25150,SAB
2019-01-10,106970,108410,106400,106720,28560,SAB
2019-01-11,106720,106930,104980,106720,38820,SAB
2019-01-14,107830,107830,105780,106720,45290,SAB
2019-01-15,105830,106670,105830,106530,23500,SAB
2019-01-16,105960,107160,105830,106270,30300,SAB
2019-01-17,105830,107070,104270,104270,41400,SAB
2019-01-18,104270,105560,104220,104270,14340,SAB
2019-01-21,105470,105470,104270,104270,4770,SAB
2019-01-22,104490,104490,103380,103950,14570,SAB
2019-01-23,103950,104270,103200,103950,16500,SAB
2019-01-24,104390,104490,103160,103600,35920,SAB
2019-01-25,103160,104000,102750,103600,26850,SAB
2019-01-28,103600,104390,102710,103600,24370,SAB
2019-01-29,104270,104270,102750,103600,18620,SAB
2019-01-30,103600,104390,103030,103600,36010,SAB
2019-01-31,103600,103820,103200,103600,21200,SAB
2019-02-01,103600,104390,102710,103600,80480,SAB
2019-02-11,104040,104140,102890,103740,42810,SAB
2019-02-12,106270,106270,103820,105740,11200,SAB
2019-02-13,105740,105780,104580,104980,118000,SAB
2019-02-14,105830,105830,104930,105830,123270,SAB
2019-02-15,106490,106620,105420,106010,48220,SAB
2019-02-18,106220,106720,106220,106720,19000,SAB
2019-02-19,106270,107690,105830,107160,25550,SAB
2019-02-20,106270,108500,106270,108500,39420,SAB
2019-02-21,108500,110270,108500,110270,24550,SAB
2019-02-22,110270,110580,109820,109820,14040,SAB
2019-02-25,109820,110180,109380,110180,31140,SAB
2019-02-26,109380,110270,109380,109820,26360,SAB
2019-02-27,110270,110270,109380,110050,7770,SAB
2019-02-28,109070,110050,106720,106720,31930,SAB
2019-03-01,105070,109380,105070,107610,31250,SAB
2019-03-04,106720,109160,106270,107610,44090,SAB
2019-03-05,108720,108850,106760,108270,10220,SAB
2019-03-06,106890,108930,106720,108450,22910,SAB
2019-03-07,107610,108000,106930,107210,25340,SAB
2019-03-08,108000,108930,107160,108930,29050,SAB
2019-03-11,108930,109510,107420,108930,20340,SAB
2019-03-12,108930,112310,108810,112050,42620,SAB
2019-03-13,110850,114710,104440,113390,54140,SAB
2019-03-14,112500,114490,112050,112500,26120,SAB
2019-03-15,113390,113390,110180,112850,40550,SAB
2019-03-18,111200,112850,108970,108970,75530,SAB
2019-03-19,108970,110940,108970,110270,37320,SAB
2019-03-20,108930,111160,108930,110940,17820,SAB
2019-03-21,111560,111600,109200,110900,17670,SAB
2019-03-22,108930,111600,108930,111600,30810,SAB
2019-03-25,111160,111160,108930,110620,5640,SAB
2019-03-26,110620,111560,109910,111520,41590,SAB
2019-03-27,111520,111600,109960,111520,12020,SAB
2019-03-28,111520,111520,110090,111160,8320,SAB
2019-03-29,112010,112010,109820,111020,122590,SAB
2019-04-01,111340,111340,110050,111020,23050,SAB
2019-04-02,111650,111650,109380,109380,21890,SAB
2019-04-03,110540,110540,109110,109780,1200,SAB
2019-04-04,111070,111520,109430,111070,38740,SAB
2019-04-05,109870,111470,109870,110270,13040,SAB
2019-04-08,111110,111110,110270,110900,2390,SAB
2019-04-09,109650,110900,108970,108970,22770,SAB
2019-04-10,110710,110710,106760,109820,39630,SAB
