time,open,high,low,close,volume,ticker
2019-01-02,7980,7980,7670,7850,101860,TPB
2019-01-03,7820,7980,7610,7670,87800,TPB
2019-01-04,7670,7670,7350,7640,163350,TPB
2019-01-07,7900,7960,7640,7720,100710,TPB
2019-01-08,7780,7900,7690,7740,144900,TPB
2019-01-09,7860,8140,7820,8100,790920,TPB
2019-01-10,8100,8280,8100,8200,476230,TPB
2019-01-11,8250,8250,8180,8210,395170,TPB
2019-01-14,8250,8660,7670,8660,265710,TPB
2019-01-15,8470,8470,8140,8290,442520,TPB
2019-01-16,8310,8360,8180,8180,121030,TPB
2019-01-17,8250,8250,8119,8140,103420,TPB
2019-01-18,8140,8360,8140,8180,136430,TPB
2019-01-21,8200,8450,8180,8250,289120,TPB
2019-01-22,8370,8370,8180,8250,216620,TPB
2019-01-23,8210,8570,8140,8570,952210,TPB
2019-01-24,8290,8450,8250,8360,271940,TPB
2019-01-25,8370,8390,8310,8310,361290,TPB
2019-01-28,8360,8360,8250,8280,229370,TPB
2019-01-29,8280,8290,8119,8140,277150,TPB
2019-01-30,8250,8250,8200,8210,191750,TPB
2019-01-31,8250,8290,8180,8180,194040,TPB
2019-02-01,8210,8250,8180,8230,133360,TPB
2019-02-11,8280,8360,8280,8360,328120,TPB
2019-02-12,8370,8430,8360,8370,387770,TPB
2019-02-13,8390,8430,8330,8390,308220,TPB
2019-02-14,8410,8410,8310,8370,328550,TPB
2019-02-15,8390,8410,8250,8330,536880,TPB
2019-02-18,8390,8390,8280,8360,277020,TPB
2019-02-19,8370,8370,8250,8290,280680,TPB
2019-02-20,8330,8330,8180,8290,349790,TPB
2019-02-21,8310,8330,8150,8180,475180,TPB
2019-02-22,8200,8310,8150,8250,348120,TPB
2019-02-25,8280,8490,8280,8360,331450,TPB
2019-02-26,8360,8360,8180,8250,460890,TPB
2019-02-27,8250,8250,8140,8230,585280,TPB
2019-02-28,8230,8250,8119,8150,528270,TPB
2019-03-01,8150,8230,8140,8230,463220,TPB
2019-03-04,8230,8490,8200,8330,619900,TPB
2019-03-05,8330,8360,8180,8210,620810,TPB
2019-03-06,8230,8280,8180,8210,187320,TPB
2019-03-07,8250,8360,8230,8250,285270,TPB
2019-03-08,8230,8230,8150,8200,133070,TPB
2019-03-11,8180,8210,8119,8180,59560,TPB
2019-03-12,8180,8330,8180,8330,667260,TPB
2019-03-13,8390,8410,8330,8370,548920,TPB
2019-03-14,8390,8390,8250,8370,279910,TPB
2019-03-15,8360,8390,8250,8250,348190,TPB
2019-03-18,8250,8370,8250,8360,939370,TPB
2019-03-19,8370,8390,8310,8360,771910,TPB
2019-03-20,8360,8370,8230,8330,691420,TPB
2019-03-21,8370,8370,8210,8310,504960,TPB
2019-03-22,8330,8360,8290,8330,340730,TPB
2019-03-25,8310,8310,8140,8210,470480,TPB
2019-03-26,8210,8370,8210,8210,337140,TPB
2019-03-27,8230,8310,8200,8250,321520,TPB
2019-03-28,8280,8360,8230,8330,505130,TPB
2019-03-29,8370,8390,8360,8360,502820,TPB
2019-04-01,8370,8920,8310,8890,791220,TPB
2019-04-02,8890,8920,8730,8740,729960,TPB
2019-04-03,8760,8920,8730,8890,1192390,TPB
2019-04-04,8940,8960,8820,8940,829600,TPB
2019-04-05,8960,9120,8920,8920,672710,TPB
2019-04-08,8940,9020,8900,8960,905710,TPB
2019-04-09,9020,9020,8890,8890,1599150,TPB
2019-04-10,8840,8870,8590,8710,665670,TPB
2019-04-11,8710,8840,8690,8840,869930,TPB
2019-04-12,8960,8960,8760,8820,204580,TPB
2019-04-16,8790,8820,8630,8730,351530,TPB
2019-04-17,8730,8730,8610,8690,553850,TPB
2019-04-18,8710,8740,8570,8590,726650,TPB
2019-04-19,8630,9040,8530,8690,746640,TPB
2019-04-22,8760,8760,8490,8550,809550,TPB
2019-04-23,8650,8650,8430,8530,1053980,TPB
2019-04-24,8550,8570,8430,8430,981910,TPB
2019-04-25,8450,8450,8330,8330,512850,TPB
2019-04-26,8330,8450,8330,8390,1047920,TPB
2019-05-02,8390,8430,8370,8390,879430,TPB
2019-05-03,8390,8430,8310,8370,1140300,TPB
2019-05-06,8330,8410,8210,8370,325190,TPB
2019-05-07,8370,8530,8370,8450,1689650,TPB
2019-05-08,8390,8450,8390,8410,543450,TPB
2019-05-09,8450,8570,8430,8450,1714680,TPB
2019-05-10,8590,8840,8490,8840,2575760,TPB
2019-05-13,8890,9120,8890,9000,1525660,TPB
2019-05-14,8960,9040,8920,9040,1327600,TPB
2019-05-15,9040,9100,9000,9100,2186550,TPB
2019-05-16,9140,9160,9060,9160,1602800,TPB
2019-05-17,9180,9350,9160,9350,989260,TPB
2019-05-20,9380,9410,9300,9380,560820,TPB
2019-05-21,9400,9410,9330,9400,586370,TPB
2019-05-22,9400,9510,9350,9400,545890,TPB
2019-05-23,9400,9400,9240,9280,540040,TPB
2019-05-24,9240,9350,9200,9280,606470,TPB
2019-05-27,9280,9400,9280,9350,1040400,TPB
2019-05-28,9410,9430,9330,9330,947980,TPB
2019-05-29,9330,9490,9330,9450,806450,TPB
2019-05-30,9480,9510,9430,9450,1013440,TPB
2019-05-31,9450,9450,9380,9400,996740,TPB
2019-06-03,9400,9400,9240,9350,671850,TPB
2019-06-04,9400,9410,9240,9350,520530,TPB
2019-06-05,9350,9400,9330,9400,582690,TPB
2019-06-06,9430,9430,9240,9400,460940,TPB
2019-06-07,9410,9480,9350,9480,775140,TPB
2019-06-10,9510,9610,9430,9570,920390,TPB
2019-06-11,9570,10020,9490,10020,1237320,TPB
2019-06-12,9910,9920,9750,9910,1339830,TPB
2019-06-13,9790,9990,9560,9990,3041540,TPB
2019-06-14,9990,9990,9710,9790,2732610,TPB
2019-06-17,9790,9790,9430,9630,598040,TPB
2019-06-18,9200,9830,9200,9250,787400,TPB
2019-06-19,9200,9350,9080,9200,301690,TPB
2019-06-20,9280,9300,9120,9280,690390,TPB
2019-06-21,9280,9350,9160,9280,501090,TPB
2019-06-24,9280,9280,9020,9020,495680,TPB
2019-06-25,9020,9040,8810,9000,760970,TPB
2019-06-26,9020,9020,8840,8920,612320,TPB
2019-06-27,8920,8960,8870,8920,349370,TPB
2019-06-28,9020,9020,8840,8980,347030,TPB
2019-07-01,8980,9060,8960,9000,300040,TPB
