time,open,high,low,close,volume,ticker
2019-01-02,7030,7030,6840,6840,1037420,VPB
2019-01-03,6840,6910,6600,6700,3018830,VPB
2019-01-04,6670,6760,6470,6680,1928210,VPB
2019-01-07,6810,6910,6760,6800,1645360,VPB
2019-01-08,6760,6810,6680,6760,834840,VPB
2019-01-09,6780,6900,6760,6760,2027690,VPB
2019-01-10,6780,6860,6760,6780,988700,VPB
2019-01-11,6810,6840,6720,6740,1158060,VPB
2019-01-14,6740,6780,6650,6720,1149670,VPB
2019-01-15,6720,6820,6700,6800,1168800,VPB
2019-01-16,6810,7030,6810,7010,3962960,VPB
2019-01-17,6990,7020,6700,6700,1419860,VPB
2019-01-18,6810,6880,6760,6800,1672450,VPB
2019-01-21,6810,7130,6810,7050,2531400,VPB
2019-01-22,7050,7180,6930,6930,2282970,VPB
2019-01-23,6900,7030,6900,7020,1413360,VPB
2019-01-24,7020,7130,6950,7130,2058500,VPB
2019-01-25,7090,7160,7020,7070,1353240,VPB
2019-01-28,7070,7110,6880,6950,1415780,VPB
2019-01-29,6950,7050,6860,7050,1602910,VPB
2019-01-30,7070,7110,7010,7020,1292190,VPB
2019-01-31,7070,7180,7070,7130,2385210,VPB
2019-02-01,7130,7160,6990,7070,3212780,VPB
2019-02-11,7150,7480,7110,7480,3188300,VPB
2019-02-12,7550,7610,7460,7530,3980620,VPB
2019-02-13,7550,7650,7530,7590,3440610,VPB
2019-02-14,7590,7610,7480,7500,2299990,VPB
2019-02-15,7480,7590,7380,7500,2818810,VPB
2019-02-18,7550,7630,7530,7590,1634010,VPB
2019-02-19,7650,7690,7480,7480,2998200,VPB
2019-02-20,7460,7550,7380,7460,2173510,VPB
2019-02-21,7510,7550,7380,7550,2551090,VPB
2019-02-22,7460,7630,7440,7530,2761050,VPB
2019-02-25,7650,7690,7570,7590,2504220,VPB
2019-02-26,7550,7630,7440,7510,2884870,VPB
2019-02-27,7510,7530,7440,7480,1606160,VPB
2019-02-28,7480,7480,7260,7300,2771900,VPB
2019-03-01,7300,7380,7260,7380,2197980,VPB
2019-03-04,7380,7620,7380,7550,3088630,VPB
2019-03-05,7530,7650,7500,7550,3627360,VPB
2019-03-06,7550,7570,7460,7510,1409590,VPB
2019-03-07,7510,7610,7480,7510,2681570,VPB
2019-03-08,7440,7500,7380,7430,2774400,VPB
2019-03-11,7430,7480,7390,7440,799600,VPB
2019-03-12,7480,7590,7390,7590,2561330,VPB
2019-03-13,7670,7800,7650,7760,4507910,VPB
2019-03-14,7740,7760,7650,7650,1640600,VPB
2019-03-15,7630,7690,7610,7690,1720670,VPB
2019-03-18,7710,7940,7710,7940,4480400,VPB
2019-03-19,7940,7940,7710,7730,1689000,VPB
2019-03-20,7710,7730,7590,7670,2170730,VPB
2019-03-21,7670,7710,7410,7410,3158580,VPB
2019-03-22,7500,7500,7360,7410,2493250,VPB
2019-03-25,7230,7260,7050,7130,3398760,VPB
2019-03-26,7160,7230,7130,7130,1641900,VPB
2019-03-27,7160,7300,7110,7300,2064200,VPB
2019-03-28,7200,7300,7200,7220,1091520,VPB
2019-03-29,7260,7280,7110,7130,2449530,VPB
2019-04-01,7160,7220,7110,7150,1525280,VPB
2019-04-02,7220,7230,7110,7110,1690450,VPB
2019-04-03,7090,7110,6970,7030,3328450,VPB
2019-04-04,7050,7110,7020,7050,1017850,VPB
2019-04-05,7050,7110,7020,7070,1894700,VPB
2019-04-08,7090,7090,6910,7010,1657550,VPB
2019-04-09,7020,7110,7010,7030,2070500,VPB
2019-04-10,7020,7050,6860,7010,2382980,VPB
2019-04-11,7020,7020,6910,6930,900020,VPB
2019-04-12,6900,6910,6840,6860,1735450,VPB
2019-04-16,6810,6840,6650,6760,2661560,VPB
2019-04-17,6780,6910,6760,6860,2071330,VPB
2019-04-18,6860,6880,6760,6810,1293420,VPB
2019-04-19,6840,6840,6760,6840,1035910,VPB
2019-04-22,6840,6840,6700,6820,1251570,VPB
2019-04-23,6760,6840,6720,6740,1540170,VPB
2019-04-24,6800,6820,6720,6810,1338870,VPB
2019-04-25,6810,6810,6720,6720,916900,VPB
2019-04-26,6720,6780,6680,6720,1437530,VPB
2019-05-02,6760,6760,6610,6680,1096600,VPB
2019-05-03,6650,6680,6560,6680,2442790,VPB
2019-05-06,6600,6610,6350,6510,2312460,VPB
2019-05-07,6530,6560,6430,6430,1079800,VPB
2019-05-08,6370,6450,6350,6430,1565680,VPB
2019-05-09,6410,6490,6390,6430,1826500,VPB
2019-05-10,6470,6490,6420,6470,1422780,VPB
2019-05-13,6470,6610,6450,6490,1390780,VPB
2019-05-14,6450,6530,6430,6530,1398440,VPB
2019-05-15,6550,6670,6530,6670,1841710,VPB
2019-05-16,6680,6720,6610,6670,1825590,VPB
2019-05-17,6630,6670,6580,6650,991430,VPB
2019-05-20,6600,6680,6580,6630,1397930,VPB
2019-05-21,6670,6740,6650,6700,1825510,VPB
2019-05-22,6740,6810,6700,6740,2448820,VPB
2019-05-23,6670,6740,6600,6610,1249510,VPB
2019-05-24,6560,6700,6550,6580,1086690,VPB
2019-05-27,6560,6610,6510,6610,952130,VPB
2019-05-28,6670,6670,6530,6530,1012920,VPB
2019-05-29,6560,6560,6450,6450,916770,VPB
2019-05-30,6450,6510,6420,6490,1907020,VPB
2019-05-31,6470,6530,6420,6420,965850,VPB
2019-06-03,6410,6420,6180,6350,2063880,VPB
2019-06-04,6320,6370,6210,6350,1808710,VPB
2019-06-05,6350,6390,6300,6300,1091510,VPB
2019-06-06,6210,6330,6180,6330,1321980,VPB
2019-06-07,6350,6390,6320,6330,1571060,VPB
2019-06-10,6410,6420,6240,6390,1847070,VPB
2019-06-11,6410,6420,6330,6410,1180300,VPB
2019-06-12,6410,6420,6370,6410,1461730,VPB
2019-06-13,6370,6490,6370,6420,2107810,VPB
2019-06-14,6430,6610,6420,6560,3211970,VPB
2019-06-17,6560,6600,6530,6560,2330100,VPB
2019-06-18,6530,6560,6420,6510,2691590,VPB
2019-06-19,6550,6580,6420,6550,1292370,VPB
2019-06-20,6490,6780,6490,6780,4347040,VPB
2019-06-21,6810,6840,6740,6810,2318070,VPB
2019-06-24,6780,6860,6760,6810,2006700,VPB
2019-06-25,6800,6860,6780,6840,2603250,VPB
2019-06-26,6810,6840,6780,6780,1206480,VPB
2019-06-27,6720,6780,6610,6650,2671610,VPB
2019-06-28,6600,6680,6510,6670,1963890,VPB
2019-07-01,6670,6840,6650,6840,1679610,VPB
2019-07-02,6820,6910,6800,6810,1620120,VPB
2019-07-03,6810,6810,6700,6780,1335150,VPB
2019-07-04,6780,6860,6780,6820,1308820,VPB
2019-07-05,6860,6950,6820,6840,1625650,VPB
2019-07-08,6780,6840,6700,6820,1308420,VPB
2019-07-09,6820,6820,6740,6810,1034110,VPB
2019-07-10,6810,6880,6800,6840,1315600,VPB
2019-07-11,6880,6930,6840,6930,2589340,VPB
2019-07-12,6950,6990,6880,6880,2054520,VPB
2019-07-15,6950,6950,6840,6910,1860210,VPB
2019-07-16,6910,6970,6910,6950,1034460,VPB
2019-07-17,6930,6970,6810,6840,2774810,VPB
2019-07-18,6810,6840,6760,6810,1995060,VPB
2019-07-19,6810,6860,6760,6840,2494510,VPB
2019-07-22,6780,6840,6700,6740,1046360,VPB
2019-07-23,6740,6780,6680,6740,1211300,VPB
2019-07-24,6760,6760,6670,6740,761050,VPB
2019-07-25,6740,6740,6630,6630,1462890,VPB
2019-07-26,6610,6670,6560,6610,861490,VPB
2019-07-29,6610,6650,6560,6610,922180,VPB
2019-07-30,6610,6650,6550,6580,897070,VPB
2019-07-31,6600,6600,6510,6550,1469310,VPB
2019-08-01,6550,6560,6450,6530,800860,VPB
2019-08-02,6560,6840,6490,6720,3841410,VPB
2019-08-05,6720,6840,6680,6680,3066850,VPB
2019-08-06,6560,6630,6510,6630,2079640,VPB
2019-08-07,6630,6630,6550,6610,1287750,VPB
2019-08-08,6560,6630,6530,6600,1241320,VPB
2019-08-09,6560,6740,6530,6700,1900110,VPB
2019-08-12,6700,6740,6630,6700,851270,VPB
2019-08-13,6720,6840,6670,6740,3018430,VPB
2019-08-14,6810,6820,6760,6800,1094770,VPB
2019-08-15,6670,6810,6670,6810,1327430,VPB
2019-08-16,6810,6950,6760,6860,3323690,VPB
2019-08-19,6880,6930,6820,6860,1049300,VPB
2019-08-20,6880,6900,6840,6880,812870,VPB
2019-08-21,6880,6970,6840,6970,2071110,VPB
2019-08-22,6970,7020,6910,6990,1529840,VPB
2019-08-23,7020,7020,6900,6990,1582910,VPB
2019-08-26,6950,7110,6910,7090,3580730,VPB
2019-08-27,7090,7320,7090,7200,3137460,VPB
2019-08-28,7200,7230,7130,7160,933290,VPB
2019-08-29,7160,7200,7090,7200,1040260,VPB
2019-08-30,7160,7230,7150,7160,1126020,VPB
2019-09-03,7180,7200,6880,7160,1123930,VPB
2019-09-04,7090,7130,6990,6990,1331980,VPB
2019-09-05,7050,7150,7020,7150,1364320,VPB
2019-09-06,7200,7280,7180,7180,2112450,VPB
2019-09-09,7160,7180,7050,7110,1560310,VPB
2019-09-10,7090,7180,7030,7090,901250,VPB
2019-09-11,7110,7130,7030,7090,812800,VPB
2019-09-12,7070,7230,7070,7230,1856290,VPB
2019-09-13,7230,7340,7160,7300,2887060,VPB
2019-09-16,7300,7340,7250,7300,1619720,VPB
2019-09-17,7260,7320,7230,7260,925880,VPB
2019-09-18,7280,7440,7250,7440,3957290,VPB
2019-09-19,7410,7570,7410,7570,2486530,VPB
2019-09-20,7570,7590,7480,7550,2730910,VPB
2019-09-23,7550,7650,7530,7550,3619730,VPB
2019-09-24,7510,7570,7480,7530,1632130,VPB
2019-09-25,7510,7570,7500,7550,1989490,VPB
2019-09-26,7570,7650,7570,7630,2507810,VPB
2019-09-27,7690,7820,7630,7820,3953810,VPB
2019-09-30,7860,7920,7760,7780,2557340,VPB
2019-10-01,7780,7900,7760,7880,2565290,VPB
2019-10-02,7860,8039,7850,7970,6785320,VPB
2019-10-03,7940,7970,7820,7970,5776630,VPB
2019-10-04,8029,8029,7860,7860,5301990,VPB
2019-10-07,7900,7900,7630,7670,6787920,VPB
2019-10-08,7670,7760,7650,7760,6267420,VPB
2019-10-09,7730,7820,7730,7800,5862290,VPB
2019-10-10,7800,7860,7800,7830,4631640,VPB
2019-10-11,7880,7880,7800,7800,4901190,VPB
2019-10-14,7800,7860,7780,7860,6297580,VPB
2019-10-15,7830,7970,7830,7960,3596130,VPB
2019-10-16,7960,8010,7920,7960,3588970,VPB
2019-10-17,7960,7960,7860,7940,3383810,VPB
2019-10-18,7940,7940,7760,7900,5441580,VPB
2019-10-21,7760,7830,7670,7760,5984800,VPB
2019-10-22,7740,7760,7670,7730,6452040,VPB
2019-10-23,7690,7820,7630,7820,5490120,VPB
2019-10-24,7800,7800,7670,7690,1860430,VPB
2019-10-25,7730,7760,7670,7760,1523140,VPB
2019-10-28,7760,7800,7740,7780,1353560,VPB
2019-10-29,7800,7800,7690,7730,721860,VPB
2019-10-30,7730,7730,7650,7690,1420070,VPB
2019-10-31,7710,7710,7590,7590,1355840,VPB
2019-11-01,7570,7630,7500,7590,2147430,VPB
2019-11-04,7620,7760,7610,7760,2560810,VPB
2019-11-05,7830,7860,7760,7850,2840680,VPB
2019-11-06,7820,7900,7780,7820,1956570,VPB
2019-11-07,7830,7850,7740,7760,1413420,VPB
2019-11-08,7760,7850,7760,7820,2231330,VPB
2019-11-11,7800,7820,7670,7730,1616350,VPB
2019-11-12,7690,7690,7630,7630,1718900,VPB
2019-11-13,7650,7670,7500,7590,2355410,VPB
2019-11-14,7510,7590,7410,7410,2274640,VPB
2019-11-15,7430,7550,7410,7550,1380960,VPB
2019-11-18,7550,7550,7460,7480,792340,VPB
2019-11-19,7480,7510,7440,7510,681940,VPB
2019-11-20,7510,7510,7340,7380,1165400,VPB
2019-11-21,7340,7460,7050,7050,3763320,VPB
2019-11-22,7130,7220,7020,7130,1427400,VPB
2019-11-25,7050,7160,7050,7130,971910,VPB
2019-11-26,7130,7220,7130,7220,1466120,VPB
2019-11-27,7220,7230,7150,7200,811170,VPB
2019-11-28,7160,7200,7050,7070,1457550,VPB
2019-11-29,7030,7110,7020,7110,746320,VPB
2019-12-02,7050,7110,6880,6880,1081350,VPB
